year	refIndic	indicator	variable	value
2009	1	GDP per capita growth	perc90	
2010	1	GDP per capita growth	perc90	5
2011	1	GDP per capita growth	perc90	
2012	1	GDP per capita growth	perc90	
2013	1	GDP per capita growth	perc90	
2014	1	GDP per capita growth	perc90	
2015	1	GDP per capita growth	perc90	4.2
2016	1	GDP per capita growth	perc90	
2017	1	GDP per capita growth	perc90	
2018	1	GDP per capita growth	perc90	
2019	1	GDP per capita growth	perc90	4
2000	2	GDP per capita growth	avg	4
2001	2	GDP per capita growth	avg	
2002	2	GDP per capita growth	avg	
2003	2	GDP per capita growth	avg	
2004	2	GDP per capita growth	avg	
2005	2	GDP per capita growth	avg	3
2006	2	GDP per capita growth	avg	
2007	2	GDP per capita growth	avg	
2008	2	GDP per capita growth	avg	
2009	2	GDP per capita growth	avg	
2010	2	GDP per capita growth	avg	2
2011	2	GDP per capita growth	avg	
2012	2	GDP per capita growth	avg	
2013	2	GDP per capita growth	avg	
2014	2	GDP per capita growth	avg	
2015	2	GDP per capita growth	avg	2.5
2016	2	GDP per capita growth	avg	
2017	2	GDP per capita growth	avg	
2018	2	GDP per capita growth	avg	
2019	2	GDP per capita growth	avg	1.9
2000	2	GDP per capita growth	median	3.8
2001	2	GDP per capita growth	median	
2002	2	GDP per capita growth	median	
2003	2	GDP per capita growth	median	
2004	2	GDP per capita growth	median	
2005	2	GDP per capita growth	median	2.2
2006	2	GDP per capita growth	median	
2007	2	GDP per capita growth	median	
2008	2	GDP per capita growth	median	
2009	2	GDP per capita growth	median	
2010	2	GDP per capita growth	median	2
2011	2	GDP per capita growth	median	
2012	2	GDP per capita growth	median	
2013	2	GDP per capita growth	median	
2014	2	GDP per capita growth	median	
2015	2	GDP per capita growth	median	2
2016	2	GDP per capita growth	median	
2017	2	GDP per capita growth	median	
2018	2	GDP per capita growth	median	
2019	2	GDP per capita growth	median	1.7
2000	2	GDP per capita growth	perc10	1.9
2001	2	GDP per capita growth	perc10	
2002	2	GDP per capita growth	perc10	
2003	2	GDP per capita growth	perc10	
2004	2	GDP per capita growth	perc10	
2005	2	GDP per capita growth	perc10	1
2006	2	GDP per capita growth	perc10	
2007	2	GDP per capita growth	perc10	
2008	2	GDP per capita growth	perc10	
2009	2	GDP per capita growth	perc10	
2010	2	GDP per capita growth	perc10	-0.1
2011	2	GDP per capita growth	perc10	
2012	2	GDP per capita growth	perc10	
2013	2	GDP per capita growth	perc10	
2014	2	GDP per capita growth	perc10	
2015	2	GDP per capita growth	perc10	0.1
2016	2	GDP per capita growth	perc10	
2017	2	GDP per capita growth	perc10	
2018	2	GDP per capita growth	perc10	
2019	2	GDP per capita growth	perc10	0
2000	2	GDP per capita growth	perc90	6.5
2001	2	GDP per capita growth	perc90	
2002	2	GDP per capita growth	perc90	
2003	2	GDP per capita growth	perc90	
2004	2	GDP per capita growth	perc90	
2005	2	GDP per capita growth	perc90	6.8
2006	2	GDP per capita growth	perc90	
2007	2	GDP per capita growth	perc90	
2008	2	GDP per capita growth	perc90	
2009	2	GDP per capita growth	perc90	
2010	2	GDP per capita growth	perc90	5
2011	2	GDP per capita growth	perc90	
2012	2	GDP per capita growth	perc90	
2013	2	GDP per capita growth	perc90	
2014	2	GDP per capita growth	perc90	
2015	2	GDP per capita growth	perc90	4.2
2016	2	GDP per capita growth	perc90	
2017	2	GDP per capita growth	perc90	
2018	2	GDP per capita growth	perc90	
2019	2	GDP per capita growth	perc90	4
